Date,Close,High,Low,Open,Volume
2021-03-10,8525.2001953125,8561.099609375,8462.2998046875,8479.5,203746300
2021-03-11,8593.0,8609.5,8495.7998046875,8567.599609375,189021600
2021-03-12,8644.5,8644.5,8554.400390625,8570.0,149113500
2021-03-15,8635.400390625,8740.099609375,8617.599609375,8689.900390625,210887200
2021-03-16,8657.7001953125,8717.599609375,8617.7998046875,8679.400390625,209943700
2021-03-17,8599.5,8659.099609375,8570.099609375,8652.099609375,173237000
2021-03-18,8624.599609375,8658.7998046875,8587.099609375,8632.599609375,237338400
2021-03-19,8493.0,8591.2001953125,8465.900390625,8560.099609375,375052600
2021-03-22,8343.5,8432.599609375,8324.7998046875,8430.2001953125,229082300
2021-03-23,8390.2998046875,8425.900390625,8274.2001953125,8316.7001953125,203402800
2021-03-24,8443.7001953125,8443.7001953125,8288.7998046875,8351.2998046875,187924600
2021-03-25,8409.5,8439.2001953125,8299.7001953125,8420.2998046875,161359200
2021-03-26,8498.2001953125,8528.7998046875,8437.7998046875,8480.5,233895700
2021-03-29,8492.099609375,8540.400390625,8451.5,8502.7998046875,177594200
2021-03-30,8595.2001953125,8612.2998046875,8532.400390625,8542.900390625,171860100
2021-03-31,8580.0,8652.2001953125,8568.0,8594.7001953125,265542300
2021-04-01,8577.599609375,8610.099609375,8542.7001953125,8595.599609375,150979000
2021-04-06,8634.599609375,8691.900390625,8615.5,8673.2001953125,201717300
2021-04-07,8597.400390625,8661.7998046875,8592.2001953125,8648.2998046875,137394800
2021-04-08,8637.7998046875,8637.7998046875,8564.400390625,8626.5,165761800
2021-04-09,8565.7998046875,8647.400390625,8565.7998046875,8639.2998046875,133458400
2021-04-12,8532.599609375,8556.900390625,8481.0,8556.099609375,131409400
2021-04-13,8525.099609375,8568.2998046875,8467.2998046875,8533.2001953125,152574000
2021-04-14,8588.400390625,8595.7001953125,8510.099609375,8532.599609375,133519000
2021-04-15,8571.599609375,8621.900390625,8564.7001953125,8603.099609375,146073800
2021-04-16,8613.5,8656.400390625,8553.599609375,8585.0,176861600
2021-04-19,8711.400390625,8741.400390625,8609.2998046875,8613.7998046875,171375300
2021-04-20,8459.400390625,8703.900390625,8450.7001953125,8699.400390625,214621600
2021-04-21,8519.7998046875,8566.2998046875,8426.2001953125,8492.900390625,175189200
2021-04-22,8656.7998046875,8656.7998046875,8527.5,8548.599609375,136381300
2021-04-23,8618.599609375,8674.0,8571.7001953125,8629.400390625,118119300
2021-04-26,8701.900390625,8714.599609375,8590.599609375,8629.900390625,162998200
2021-04-27,8756.7001953125,8756.7001953125,8655.2998046875,8690.7998046875,183162900
2021-04-28,8799.599609375,8815.900390625,8717.599609375,8779.099609375,218196700
2021-04-29,8823.2001953125,8869.900390625,8801.400390625,8821.7998046875,261774400
2021-04-30,8815.0,8860.400390625,8808.599609375,8822.2998046875,267612000
2021-05-03,8893.7001953125,8904.7001953125,8796.2998046875,8821.599609375,150399700
2021-05-04,8830.400390625,9002.400390625,8811.900390625,8906.0,231895800
2021-05-05,8967.7998046875,8967.7998046875,8881.400390625,8896.7001953125,180443400
2021-05-06,8982.2001953125,9010.5,8912.2001953125,8982.599609375,188334200
